file	line	word	before_10	after_10
/home/maxime/Projects/dspy/docs/docs/api/adapters/Adapter.md	16	format_system_message	options members __call__ acall format format_assistant_message_content format_conversation_history format_demos format_field_description format_field_structure	format_task_description format_user_message_content parse show_source true show_root_heading true heading_level 2 docstring_style
/home/maxime/Projects/dspy/docs/docs/api/adapters/ChatAdapter.md	18	format_system_message	__call__ acall format format_assistant_message_content format_conversation_history format_demos format_field_description format_field_structure format_field_with_value format_finetune_data	format_task_description format_user_message_content parse user_message_output_requirements show_source true show_root_heading true heading_level 2
/home/maxime/Projects/dspy/docs/docs/api/adapters/JSONAdapter.md	18	format_system_message	__call__ acall format format_assistant_message_content format_conversation_history format_demos format_field_description format_field_structure format_field_with_value format_finetune_data	format_task_description format_user_message_content parse user_message_output_requirements show_source true show_root_heading true heading_level 2
/home/maxime/Projects/dspy/docs/docs/api/adapters/TwoStepAdapter.md	16	format_system_message	options members __call__ acall format format_assistant_message_content format_conversation_history format_demos format_field_description format_field_structure	format_task_description format_user_message_content parse show_source true show_root_heading true heading_level 2 docstring_style
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/GEPA_Advanced.md	318	systematic	a component in batch enabling cross example pattern detection and	issue identification Mind data serialization Serializing everything to strings might
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	3	systems	that adaptively evolves _textual components_ such as prompts of arbitrary	In addition to scalar scores returned by metrics users can
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	3	system	Such textual feedback provides GEPA more visibility into why the	got the score that it did and then GEPA can
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	98	System	Pareto validation set Update the candidate pool Pareto frontier Optionally	aware merge crossover Combine best performing modules from distinct lineages
/home/maxime/Projects/dspy/docs/docs/api/optimizers/GEPA/overview.md	104	system	rewards This mirrors human diagnostic processes enabling clearer identification of	behaviors and bottlenecks Practical Recipe for GEPA Friendly Feedback Leverage
/home/maxime/Projects/dspy/docs/docs/community/community-ports.md	3	ecosystems	These community maintained ports bring DSPy's programming paradigm to different	If you have created a DSPy port in another language
/home/maxime/Projects/dspy/docs/docs/community/community-resources.md	24	systems	DSPy Link https relevanceai com blog building self improving agentic	in production with dspy Videos Name Link DSPy Explained 60K
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	20	system	salomatic used langtrace to build a reliable medical report generation	Enriching medical reports using DSPy Blog https langtrace ai blog
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	20	system	salomatic used langtrace to build a reliable medical report generation	Truelaw https www youtube com watch v O0F3RAWZNfM How Truelaw
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	23	systems	Moody's https www moodys com Leveraging DSPy to optimize RAG	LLM as a Judge and agentic systems for financial workflows
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	23	systems	to optimize RAG systems LLM as a Judge and agentic	for financial workflows Normal Computing https www normalcomputing com Translate
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	48	system	WangLab MEDIQA https arxiv org abs 2404 14544 UofT's winning	at MEDIQA outperforms the next best system by 20 points
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	48	system	14544 UofT's winning system at MEDIQA outperforms the next best	by 20 points UMD's Suicide Detection System https arxiv org
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	49	System	the next best system by 20 points UMD's Suicide Detection	https arxiv org abs 2406 06608 Outperforms 20 hour expert
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	52	System	Optimization Palimpzest https arxiv org abs 2405 14696 A Declarative	for Optimizing AI Workloads AI Agents that Matter https arxiv
/home/maxime/Projects/dspy/docs/docs/community/use-cases.md	107	ecosystem	docs integrate_with_dspy md Neo4j Link https neo4j com labs genai	dspy Lightning AI Link https lightning ai lightning ai studios
/home/maxime/Projects/dspy/docs/docs/faqs.md	14	system	parts of these interactions that are external to your actual	design It lets you focus on designing the module level
/home/maxime/Projects/dspy/docs/docs/faqs.md	16	ecosystem	or standard text to SQL you will find a rich	in these libraries DSPy doesn't internally contain hand crafted prompts
/home/maxime/Projects/dspy/docs/docs/index.md	13	INTERNATIONAL_SYSTEM	https static pepy tech personalized badge dspy period total units	left_color BLACK right_color GREEN left_text downloads https pepy tech projects
/home/maxime/Projects/dspy/docs/docs/index.md	137	systems	AI behavior as _code_ not strings To build reliable AI	you must iterate fast But maintaining prompts makes that hard
/home/maxime/Projects/dspy/docs/docs/index.md	137	systems	Having built over a dozen best in class compound LM	since 2020 we learned this the hard way and so
/home/maxime/Projects/dspy/docs/docs/index.md	137	system	the hard way and so built DSPy to decouple AI	design from messy incidental choices about specific LMs or prompting
/home/maxime/Projects/dspy/docs/docs/index.md	139	system	declarative natural language modules For every AI component in your	you specify input output behavior as a _signature_ and select
/home/maxime/Projects/dspy/docs/docs/index.md	139	systems	compose different modules together into ergonomic portable and optimizable AI	info Getting Started II Build DSPy modules for various tasks
/home/maxime/Projects/dspy/docs/docs/index.md	310	system	long as you can evaluate the _final_ output of the	every DSPy optimizer can tune all of the intermediate modules
/home/maxime/Projects/dspy/docs/docs/index.md	312	systems	Using DSPy in practice from quick scripting to building sophisticated	Standard prompts conflate interface what should the LM do with
/home/maxime/Projects/dspy/docs/docs/index.md	316	systems	using optimizers DSPy's modules allow you to script effective LM	as ergonomic portable _code_ Across many tasks and LMs we
/home/maxime/Projects/dspy/docs/docs/index.md	323	system's	and a _metric_ that can measure the quality of your	outputs you can use a DSPy optimizer Different optimizers in
/home/maxime/Projects/dspy/docs/docs/index.md	323	system	and using them to finetune the LM weights in your	like dspy BootstrapFinetune sup 4 https arxiv org abs 2407
/home/maxime/Projects/dspy/docs/docs/index.md	361	system	truth responses the following code snippet can optimize your RAG	with long outputs against the built in SemanticF1 metric which
/home/maxime/Projects/dspy/docs/docs/index.md	377	system	rag index ipynb It improves the quality of a RAG	over a subset of StackExchange communities by 10 relative gain
/home/maxime/Projects/dspy/docs/docs/index.md	437	systematic	_pre inference time compute_ i e optimization budget in highly	ways Future BootstrapRS or MIPRO on with a local SGLang
/home/maxime/Projects/dspy/docs/docs/index.md	447	Ecosystem	2 with Ollama maybe with a big teacher 3 DSPy's	advances open source AI research Compared to monolithic LMs DSPy's
/home/maxime/Projects/dspy/docs/docs/index.md	451	systems	on what we had learned from developing early compound LM	https bair berkeley edu blog 2024 02 18 compound ai
/home/maxime/Projects/dspy/docs/docs/index.md	451	systems	https bair berkeley edu blog 2024 02 18 compound ai	like ColBERT QA https arxiv org abs 2007 00814 Baleen
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/metrics.md	12	system	take examples from your data and the output of your	and return a score that quantifies how good the output
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/metrics.md	12	system	how good the output is What makes outputs from your	good or bad For simple tasks this could be just
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/metrics.md	16	system	or short form QA tasks However for most applications your	will output long form outputs There your metric should probably
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/metrics.md	85	system	Using AI feedback for your metric For most applications your	will output long form outputs so your metric should check
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/overview.md	7	system	sidebar_position 1 Evaluation in DSPy Once you have an initial	it's time to collect an initial development set so you
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/overview.md	7	systematically	an initial development set so you can refine it more	Even 20 input examples of your task can be useful
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/overview.md	7	system	or you need inputs and the _final_ outputs of your	You almost never need labels for the intermediate steps in
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/overview.md	7	system	examples by hand or start deploying a demo of your	and collect initial data that way Next you should define
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/overview.md	9	system	should define your DSPy metric What makes outputs from your	good or bad Invest in defining metrics and improving them
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/overview.md	9	system	examples from your data and takes the output of your	and returns a score For simple tasks this could be
/home/maxime/Projects/dspy/docs/docs/learn/evaluation/overview.md	9	system	classification or short form QA tasks For most applications your	will produce long form outputs so your metric will be
/home/maxime/Projects/dspy/docs/docs/learn/index.md	7	system	that you can learn quickly However building a new AI	is a more open ended journey of iterative development in
/home/maxime/Projects/dspy/docs/docs/learn/index.md	7	systems	optimize for _your_ objectives The three stages of building AI	in DSPy are 1 DSPy Programming This is about defining
/home/maxime/Projects/dspy/docs/docs/learn/index.md	11	system	inform your initial pipeline design 2 DSPy Evaluation Once your	starts working this is the stage where you collect an
/home/maxime/Projects/dspy/docs/docs/learn/index.md	11	system	your DSPy metric and use these to iterate on your	more systematically 3 DSPy Optimization Once you have a way
/home/maxime/Projects/dspy/docs/docs/learn/index.md	11	systematically	metric and use these to iterate on your system more	3 DSPy Optimization Once you have a way to evaluate
/home/maxime/Projects/dspy/docs/docs/learn/index.md	13	system	DSPy Optimization Once you have a way to evaluate your	you use DSPy optimizers to tune the prompts or weights
/home/maxime/Projects/dspy/docs/docs/learn/optimization/optimizers.md	26	system	and using them to finetune the LM weights in your	like dspy BootstrapFinetune sup 4 https arxiv org abs 2407
/home/maxime/Projects/dspy/docs/docs/learn/optimization/optimizers.md	32	systematic	_pre inference time compute_ i e optimization budget in highly	ways What DSPy Optimizers are currently available Optimizers can be
/home/maxime/Projects/dspy/docs/docs/learn/optimization/optimizers.md	141	system	truth responses the following code snippet can optimize your RAG	with long outputs against the built in dspy SemanticF1 metric
/home/maxime/Projects/dspy/docs/docs/learn/optimization/optimizers.md	157	system	rag index ipynb It improves the quality of a RAG	over a subset of StackExchange communities from 53 to 61
/home/maxime/Projects/dspy/docs/docs/learn/optimization/overview.md	8	system	sidebar_position 1 Optimization in DSPy Once you have a	and a way to evaluate it you can use DSPy
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	9	system	turn messages that get sent to the LM The adapter	is responsible for Translating DSPy signatures into system messages that
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	11	system	The adapter system is responsible for Translating DSPy signatures into	messages that define the task and request response structure Formatting
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	45	System	is the capital of France Where Adapters Fit in the	The flow works as follows 1 The user calls their
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	71	system	adapter format signature demos inputs The output should resemble role	content Your input fields are n1 question str nYour output
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	77	system	the marker for completed You can also only fetch the	message by calling adapter format_system_message signature python import dspy signature
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	77	format_system_message	can also only fetch the system message by calling adapter	signature python import dspy signature dspy Signature question answer system_message
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	83	system_message	format_system_message signature python import dspy signature dspy Signature question answer	dspy ChatAdapter format_system_message signature print system_message The output should resemble
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	83	format_system_message	import dspy signature dspy Signature question answer system_message dspy ChatAdapter	signature print system_message The output should resemble Your input fields
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	84	system_message	dspy Signature question answer system_message dspy ChatAdapter format_system_message signature print	The output should resemble Your input fields are 1 question
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	148	System	The output looks like 2025 08 15T22 24 29 378666	message Your input fields are 1 science_field str 2 year
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	222	system	tokens compared to other adapters so if you're building a	sensitive to latency consider using a different adapter JSONAdapter JSONAdapter
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	259	System	predict science_field Computer Theory year 2022 num_of_outputs 1 dspy inspect_history	message Your input fields are 1 science_field str 2 year
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	308	systems	made significant advancements in quantum computing algorithms demonstrating that quantum	can outperform classical computers in specific tasks This breakthrough could
/home/maxime/Projects/dspy/docs/docs/learn/programming/adapters.md	308	system	This breakthrough could revolutionize fields such as cryptography and complex	simulations scientists_involved Dr Alice Smith Dr Bob Johnson Dr Carol
/home/maxime/Projects/dspy/docs/docs/learn/programming/language_models.md	285	ecosystem	inheriting from dspy BaseLM Another advanced layer in the DSPy	is that of _adapters_ which sit between DSPy signatures and
/home/maxime/Projects/dspy/docs/docs/learn/programming/overview.md	7	system	by defining your task What are the inputs to your	and what should your system produce as output Is it
/home/maxime/Projects/dspy/docs/docs/learn/programming/overview.md	7	system	are the inputs to your system and what should your	produce as output Is it a chatbot over your data
/home/maxime/Projects/dspy/docs/docs/learn/programming/overview.md	7	system	your data or perhaps a code assistant Or maybe a	for translation for highlighting snippets from search results or for
/home/maxime/Projects/dspy/docs/docs/learn/programming/overview.md	16	system	how does DSPy help here Conventional prompts couple your fundamental	architecture with incidental choices not portable to new LMs objectives
/home/maxime/Projects/dspy/docs/docs/learn/programming/tools.md	122	system	regular Python functions to make them compatible with DSPy's tool	python def my_function param1 str param2 int 5 str A
/home/maxime/Projects/dspy/docs/docs/roadmap.md	19	system's	that isolate how they decompose their problems and describe their	objectives from how their LMs are invoked or fine tuned
/home/maxime/Projects/dspy/docs/docs/roadmap.md	32	systems	Search Predict concepts DSPy Signatures or LM Assertions to NLP	like STORM PATH and IReRa to prompt optimizers like MIPRO
/home/maxime/Projects/dspy/docs/docs/roadmap.md	112	systems	offers many emerging lessons from several years of building LM	in which the design space the data regime and many
/home/maxime/Projects/dspy/docs/docs/tutorials/ai_text_game/index.md	12	systems	gameplay that responds to player choices Inventory and character progression	Save load game state functionality Setup bash pip install dspy
/home/maxime/Projects/dspy/docs/docs/tutorials/ai_text_game/index.md	659	System	an ancient prophecy that might involve you Next Steps Combat	Add turn based battles with strategy Magic System Spellcasting with
/home/maxime/Projects/dspy/docs/docs/tutorials/ai_text_game/index.md	660	System	Steps Combat System Add turn based battles with strategy Magic	Spellcasting with resource management Multiplayer Network support for cooperative adventures
/home/maxime/Projects/dspy/docs/docs/tutorials/ai_text_game/index.md	662	System	with resource management Multiplayer Network support for cooperative adventures Quest	Complex multi step missions with branching outcomes World Building Procedurally
/home/maxime/Projects/dspy/docs/docs/tutorials/ai_text_game/index.md	666	systems	This tutorial demonstrates how DSPy's modular approach enables complex interactive	where AI handles creative content generation while maintaining consistent game
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	3	systems	leverage DSPy's modular programming approach to create robust maintainable AI	Core Applications Managing Conversation History conversation_history index md Learn how
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	19	systems	Generation RAG rag index ipynb Master the fundamentals of RAG	with DSPy Learn how to combine retrieval mechanisms with language
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	19	systems	how to combine retrieval mechanisms with language models to build	that can answer questions using external knowledge sources Building RAG
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	22	systems	RAG to the next level by building ReAct agent based	that can reason about when and how to retrieve information
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	22	systems	about when and how to retrieve information making your RAG	more intelligent and adaptive Multi Hop RAG multihop_search index ipynb
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	25	systems	adaptive Multi Hop RAG multihop_search index ipynb Build sophisticated RAG	that can perform multi step reasoning across multiple information sources
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	30	systems	Use Cases Entity Extraction entity_extraction index ipynb Learn to build	that can identify and extract specific entities from text essential
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	33	systems	analysis applications Classification classification index md Build robust text classification	using DSPy's modular approach with a topic classification example Privacy
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	36	systems	Delegation papillon index md Explore advanced techniques for building AI	that respect privacy constraints while maintaining high performance by combining
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	41	systems	Reasoning Program Of Thought program_of_thought index ipynb Learn to build	that can generate and execute code to solve complex problems
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	46	systematic	iteratively improve image generation prompts creating better visual content through	optimization Audio audio index ipynb Explore audio processing applications with
/home/maxime/Projects/dspy/docs/docs/tutorials/build_ai_program/index.md	49	systems	ipynb Explore audio processing applications with DSPy learning to build	that can understand process and generate audio content
/home/maxime/Projects/dspy/docs/docs/tutorials/cache/index.md	7	system	effectively use and customize it DSPy Cache Structure DSPy's caching	is architected in three distinct layers 1 In memory cache
/home/maxime/Projects/dspy/docs/docs/tutorials/cache/index.md	67	system	anthropic claude sonnet 4 5 20250929 cache_control_injection_points location message role	dspy configure lm lm Use with any DSPy module predict
/home/maxime/Projects/dspy/docs/docs/tutorials/cache/index.md	81	system	Using dspy ReAct with the same instructions Working with long	prompts that remain constant Making multiple requests with similar context
/home/maxime/Projects/dspy/docs/docs/tutorials/conversation_history/index.md	58	System	by typing finish finish 2025 07 11T16 35 57 592762	message Your input fields are 1 question str 2 history
/home/maxime/Projects/dspy/docs/docs/tutorials/conversation_history/index.md	117	system	an input field e g 2 history History in the	message This is intentional when formatting few shot examples that
/home/maxime/Projects/dspy/docs/docs/tutorials/conversation_history/index.md	155	System	will look like this 2025 07 11T16 53 10 994111	message Your input fields are 1 question str 2 history
/home/maxime/Projects/dspy/docs/docs/tutorials/core_development/index.md	3	systems	tutorials focus on the practical aspects of building production ready	Integration and Tooling Use MCP in DSPy mcp index md
/home/maxime/Projects/dspy/docs/docs/tutorials/core_development/index.md	30	systems	async await patterns and concurrent execution strategies for high throughput	Monitoring and Optimization Debugging Observability observability index md Master debugging
/home/maxime/Projects/dspy/docs/docs/tutorials/core_development/index.md	35	systems	to use comprehensive logging tracing and error handling for production	Tracking DSPy Optimizers optimizer_tracking index md Learn to track and
/home/maxime/Projects/dspy/docs/docs/tutorials/email_extraction/index.md	3	system	This tutorial demonstrates how to build an intelligent email processing	using DSPy We'll create a system that can automatically extract
/home/maxime/Projects/dspy/docs/docs/tutorials/email_extraction/index.md	3	system	an intelligent email processing system using DSPy We'll create a	that can automatically extract key information from various types of
/home/maxime/Projects/dspy/docs/docs/tutorials/email_extraction/index.md	7	system	of this tutorial you'll have a DSPy powered email processing	that can Classify email types order confirmation support request meeting
/home/maxime/Projects/dspy/docs/docs/tutorials/email_extraction/index.md	153	system	module python class EmailProcessor dspy Module A comprehensive email processing	using DSPy def __init__ self super __init__ Initialize our processing
/home/maxime/Projects/dspy/docs/docs/tutorials/email_extraction/index.md	213	System	reasoning contact_info entities contact_info Step 4 Running the Email Processing	Let's create a simple function to test our email processing
/home/maxime/Projects/dspy/docs/docs/tutorials/email_extraction/index.md	215	system	Let's create a simple function to test our email processing	python import os def run_email_processing_demo Demonstration of the email processing
/home/maxime/Projects/dspy/docs/docs/tutorials/email_extraction/index.md	220	system	python import os def run_email_processing_demo Demonstration of the email processing	Configure DSPy lm dspy LM model openai gpt 4o mini
/home/maxime/Projects/dspy/docs/docs/tutorials/index.md	4	systems	you through building production ready AI applications From implementing RAG	to creating intelligent agents each tutorial demonstrates practical use cases
/home/maxime/Projects/dspy/docs/docs/tutorials/index.md	8	systematically	While lighter on programming concepts they focus on how to	improve your AI programs using DSPy optimizers and showcase how
/home/maxime/Projects/dspy/docs/docs/tutorials/llms_txt_generation/index.md	3	systems	llms txt standard provides LLM friendly documentation that helps AI	better understand codebases What is llms txt llms txt is
/home/maxime/Projects/dspy/docs/docs/tutorials/llms_txt_generation/index.md	238	system	3 Optimizing Prompts Users can leverage DSPy to create a	that automatically optimizes prompts for language models based on performance
/home/maxime/Projects/dspy/docs/docs/tutorials/llms_txt_generation/index.md	240	system	write compositional code that allows different modules of the AI	to interact with each other enabling complex workflows that can
/home/maxime/Projects/dspy/docs/docs/tutorials/llms_txt_generation/index.md	243	systems	overview of the DSPy repository that can help other AI	better understand and work with the codebase Next Steps Extend
/home/maxime/Projects/dspy/docs/docs/tutorials/mem0_react_agent/index.md	41	system	os environ OPENAI_API_KEY your openai api key Initialize Mem0 memory	config llm provider openai config model gpt 4o mini temperature
/home/maxime/Projects/dspy/docs/docs/tutorials/mem0_react_agent/index.md	61	system	Tools Let's create tools that can interact with the memory	python import datetime class MemoryTools Tools for interacting with the
/home/maxime/Projects/dspy/docs/docs/tutorials/mem0_react_agent/index.md	67	system	datetime class MemoryTools Tools for interacting with the Mem0 memory	def __init__ self memory Memory self memory memory def store_memory
/home/maxime/Projects/dspy/docs/docs/tutorials/mem0_react_agent/index.md	211	system	openai gpt 4o mini dspy configure lm lm Initialize memory	memory Memory from_config config Create our agent agent MemoryReActAgent memory
/home/maxime/Projects/dspy/docs/docs/tutorials/observability/index.md	3	systems	DSPy allows you to build and optimize such complex AI	in a clean and modular way However as systems grow
/home/maxime/Projects/dspy/docs/docs/tutorials/observability/index.md	5	systems	AI systems in a clean and modular way However as	grow more sophisticated the ability to understand what your system
/home/maxime/Projects/dspy/docs/docs/tutorials/observability/index.md	5	system	systems grow more sophisticated the ability to understand what your	is doing becomes critical Without transparency the prediction process can
/home/maxime/Projects/dspy/docs/docs/tutorials/observability/index.md	60	System	dspy inspect_history n 5 2024 12 01T10 23 29 144257	message Your input fields are 1 question str Response Response
/home/maxime/Projects/dspy/docs/docs/tutorials/observability/index.md	82	systems	return While useful inspect_history has some limitations In real world	other components like retrievers tools and custom modules play significant
/home/maxime/Projects/dspy/docs/docs/tutorials/optimize_ai_program/index.md	3	systematically	section focuses on DSPy's powerful optimization capabilities demonstrating how to	improve your AI programs using various optimizers These tutorials are
/home/maxime/Projects/dspy/docs/docs/tutorials/optimize_ai_program/index.md	21	systems	Agents games index ipynb Learn to optimize complex agent based	through finetuning This tutorial demonstrates how to improve agent performance
/home/maxime/Projects/dspy/docs/docs/tutorials/real_world_examples/index.md	3	systems	cases Each tutorial shows how to build production ready AI	using DSPy's modular programming approach Featured Examples Generating llms txt
/home/maxime/Projects/dspy/docs/docs/tutorials/real_world_examples/index.md	13	systems	Email Information Extraction email_extraction index md Build intelligent email processing	that classify messages extract entities and identify action items using
/home/maxime/Projects/dspy/docs/docs/tutorials/real_world_examples/index.md	20	systems	integration for context aware interactions across sessions Key Concepts Memory	conversational AI agent persistence Financial Analysis with Yahoo Finance yahoo_finance_react
/home/maxime/Projects/dspy/docs/docs/tutorials/real_world_examples/index.md	28	system	Automated Code Generation from Documentation sample_code_generation index md Build a	that automatically fetches documentation from URLs and generates working code
/home/maxime/Projects/dspy/docs/docs/tutorials/rl_ai_program/index.md	8	systems	ipynb Explore how reinforcement learning can optimize privacy conscious AI	This tutorial demonstrates how RL agents can learn to balance
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	3	system	URLs and generate working code examples for any library The	can analyze documentation websites extract key concepts and produce tailored
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	7	system	code examples What You'll Build A documentation powered code generation	that Fetches and parses documentation from multiple URLs Extracts API
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	370	System	with user input print Welcome to the Interactive Library Learning	print This system will help you learn any Python library
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	371	system	print Welcome to the Interactive Library Learning System print This	will help you learn any Python library from its documentation
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	384	System	q print n Thanks for using the Interactive Library Learning	break if not library_name print Please enter a valid library
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	515	system	learned_libraries interactive_learning_session Example Output When you run the interactive learning	you'll see Interactive Session Start Welcome to the Interactive Library
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	519	System	see Interactive Session Start Welcome to the Interactive Library Learning	This system will help you learn any Python library from
/home/maxime/Projects/dspy/docs/docs/tutorials/sample_code_generation/index.md	520	system	Session Start Welcome to the Interactive Library Learning System This	will help you learn any Python library from its documentation
